"transcript","sampleA","sampleB","logFC","logCPM","PValue","FDR","HG_rep1","HG_rep2","HG_rep3","LG_rep1","LG_rep2","LG_rep3","Expression"
"TRINITY_DN156491_c0_g1_i1","RAZ_BM","RAZ_SM",-1.65168129813274,4.94518938034719,5.42381680251294e-06,0.00226132071143558,18.778,12.838,24.877,65.543,51.863,60.774,"Downregulated"
"TRINITY_DN14864_c0_g2_i2","RAZ_BM","RAZ_SM",-1.82654594331545,4.29612056125454,5.53279983790204e-06,0.00227369186362635,16.178,6.061,10.516,45.208,32.146,39.509,"Downregulated"
"TRINITY_DN7601_c0_g1_i9","RAZ_BM","RAZ_SM",-2.58544033389678,1.37614861020313,5.53611784943729e-06,0.00227369186362635,1.081,0.296,0.472,5.311,2.331,3.788,"Downregulated"
"TRINITY_DN20190_c0_g1_i2","RAZ_BM","RAZ_SM",-6.41396232402349,-0.532248423603498,5.77886195232611e-06,0.00235580658284678,0,0,0,0.69,1.381,1.276,"Downregulated"
"TRINITY_DN861_c0_g1_i4","RAZ_BM","RAZ_SM",-1.80167932082333,3.92752928194338,5.98230193855427e-06,0.00242080885945879,11.853,5.021,13.224,35.056,29.834,40.142,"Downregulated"
"TRINITY_DN37651_c0_g1_i3","RAZ_BM","RAZ_SM",-1.88369671651302,3.4706069666827,6.18216207542631e-06,0.00248342414349643,4.149,1.289,3.547,12.609,10.48,10.301,"Downregulated"
"TRINITY_DN30984_c0_g1_i1","RAZ_BM","RAZ_SM",-1.72530180692829,3.08311092527127,6.54009799834295e-06,0.00257777742969609,5.313,2.587,6.381,16.185,14.986,16.314,"Downregulated"
"TRINITY_DN6186_c1_g1_i1","RAZ_BM","RAZ_SM",-2.18269103941488,2.31475199733766,6.54860499711098e-06,0.00257777742969609,1.248,0.277,0.954,4.998,3.585,2.746,"Downregulated"
"TRINITY_DN54310_c1_g1_i2","RAZ_BM","RAZ_SM",-1.93416329014372,3.81126558178629,6.55756151029278e-06,0.00257777742969609,6.841,2.004,6.275,21.109,16.112,20.837,"Downregulated"
"TRINITY_DN16808_c0_g1_i1","RAZ_BM","RAZ_SM",-1.87755875002248,3.44862329989666,6.68674042134964e-06,0.00260991540672735,3.296,1.985,4.28,17.481,9.579,8.371,"Downregulated"
"TRINITY_DN33808_c0_g3_i1","RAZ_BM","RAZ_SM",-3.7511422451325,0.208591278309323,6.9138728292195e-06,0.0026655747051594,0.426,0.143,0,2.154,3.977,2.266,"Downregulated"
"TRINITY_DN8261_c0_g1_i9","RAZ_BM","RAZ_SM",-7.70759854993406,0.506736686939081,6.92621257473188e-06,0.0026655747051594,0,0,0,0,4.496,2.756,"Downregulated"
"TRINITY_DN2490_c0_g1_i5","RAZ_BM","RAZ_SM",-1.87861650073385,5.17672757869042,6.9868057072798e-06,0.00267022128676692,23.539,7.454,18.217,63.149,55.134,62.918,"Downregulated"
"TRINITY_DN9344_c0_g1_i6","RAZ_BM","RAZ_SM",4.30404163981219,0.00889123599146167,7.4257180234508e-06,0.00281839286691442,1.352,2.539,1.186,0.23,0,0,"Upregulated"
"TRINITY_DN7121_c0_g1_i2","RAZ_BM","RAZ_SM",-2.27845998771299,1.85360020080602,7.59397753062244e-06,0.00286251342068682,1.757,0.687,2.622,5.719,11.803,7.381,"Downregulated"
"TRINITY_DN843_c0_g1_i9","RAZ_BM","RAZ_SM",-2.04103117905851,5.5705564253354,7.79530135735509e-06,0.00291841234626313,15.367,3.856,10.882,44.759,34.644,45.001,"Downregulated"
"TRINITY_DN934_c5_g1_i1","RAZ_BM","RAZ_SM",-2.04865487669787,3.32512633017907,7.93569744829022e-06,0.0029332373379582,43.669,11.396,50.767,150.659,121.365,157.729,"Downregulated"
"TRINITY_DN8683_c1_g1_i1","RAZ_BM","RAZ_SM",-7.60363584507309,0.4389095962251,7.94149731721793e-06,0.0029332373379582,0,0,0,3.231,0,2.828,"Downregulated"
"TRINITY_DN1975_c0_g2_i1","RAZ_BM","RAZ_SM",-6.64762430770968,1.22224567285009,8.11518816174021e-06,0.00297740843528807,0.125,0,0,3.607,0,14.099,"Downregulated"
"TRINITY_DN17226_c0_g1_i1","RAZ_BM","RAZ_SM",-1.6999201768276,2.64209105131134,8.24611443440157e-06,0.00299182144396153,7.289,4.095,6.101,23.095,17.336,16.702,"Downregulated"
"TRINITY_DN1527_c0_g2_i3","RAZ_BM","RAZ_SM",-7.7972848351418,0.582471915946707,8.26319837704241e-06,0.00299182144396153,0,0,0,0,1.087,3.155,"Downregulated"
"TRINITY_DN11387_c3_g1_i1","RAZ_BM","RAZ_SM",6.47903865559566,-0.44001020864193,8.56434876027151e-06,0.00304753945377551,2.131,2.348,0.8,0,0,0,"Upregulated"
"TRINITY_DN4962_c0_g1_i1","RAZ_BM","RAZ_SM",-2.07184638568717,3.75652579810249,8.59583006635458e-06,0.00304753945377551,6.353,1.708,6.516,25.417,13.84,22.276,"Downregulated"
"TRINITY_DN3184_c0_g1_i4","RAZ_BM","RAZ_SM",-1.96279973393893,6.3852453861854,8.66178814466279e-06,0.00304753945377551,18.247,6.509,21.446,73.333,46.73,60.641,"Downregulated"
"TRINITY_DN33666_c0_g1_i1","RAZ_BM","RAZ_SM",-1.77767159741818,5.0513951004511,8.69122085863189e-06,0.00304753945377551,11.978,4.725,11.094,35.265,26.73,33.741,"Downregulated"
"TRINITY_DN72008_c0_g1_i1","RAZ_BM","RAZ_SM",-3.68447246809133,0.421771377353079,8.69396544395747e-06,0.00304753945377551,0.062,0.267,0,1.192,2.488,0.898,"Downregulated"
"TRINITY_DN1840_c0_g1_i2","RAZ_BM","RAZ_SM",-2.35793175511479,6.31799183644408,8.79209943995778e-06,0.00304967482019582,37.773,6.357,33.812,158.5,113.098,127.807,"Downregulated"
"TRINITY_DN38993_c0_g1_i4","RAZ_BM","RAZ_SM",-2.45346254465463,1.95384525731482,8.85825653109068e-06,0.00304967482019582,0.977,0.258,1.581,6.921,2.929,5.829,"Downregulated"
"TRINITY_DN5847_c0_g1_i1","RAZ_BM","RAZ_SM",-2.17929044585622,2.68686789420889,8.90592991779194e-06,0.00304967482019582,15.669,6.681,36.473,100.809,87.858,76.527,"Downregulated"
"TRINITY_DN8491_c0_g1_i7","RAZ_BM","RAZ_SM",-3.19661921888693,1.83202885898856,8.92171468640343e-06,0.00304967482019582,1.508,2.09,1.687,25.312,21.548,2.256,"Downregulated"
"TRINITY_DN375_c2_g1_i16","RAZ_BM","RAZ_SM",1.73789198406534,2.02533188302961,9.07945770112247e-06,0.0030844375007628,16.449,16.55,20.106,6.106,4.976,4.645,"Upregulated"
"TRINITY_DN28072_c0_g1_i3","RAZ_BM","RAZ_SM",-2.26857790028052,1.28720955024238,9.47594638886902e-06,0.00319938180101238,0.073,0.076,0.212,0.481,0.695,0.582,"Downregulated"
"TRINITY_DN17497_c0_g1_i1","RAZ_BM","RAZ_SM",-1.96876668832048,3.78324599977447,1.02192526636672e-05,0.00341315344798043,6.03,5.297,12.993,33.802,43.655,18.223,"Downregulated"
"TRINITY_DN41207_c0_g2_i4","RAZ_BM","RAZ_SM",-3.3598105294787,0.693899232751371,1.02331344063083e-05,0.00341315344798043,0.187,0,0.125,0.606,0.637,2.011,"Downregulated"
"TRINITY_DN63643_c1_g2_i1","RAZ_BM","RAZ_SM",-1.7967919497479,5.83990002406624,1.04092315829993e-05,0.00345097380083606,64.183,56.82,40.328,158.229,122.736,281.615,"Downregulated"
"TRINITY_DN3598_c1_g1_i1","RAZ_BM","RAZ_SM",-1.69352327112528,4.28367565821967,1.06739935707782e-05,0.00351756025254015,4.627,8.094,5.465,19.53,25.417,14.66,"Downregulated"
"TRINITY_DN84334_c0_g1_i1","RAZ_BM","RAZ_SM",-2.13611749031171,1.4377817650494,1.09368208046185e-05,0.00358272021524628,0.79,0.649,0.925,4.726,2.214,3.624,"Downregulated"
"TRINITY_DN1630_c3_g1_i1","RAZ_BM","RAZ_SM",-1.52710876284975,6.44266699873486,1.10201260063628e-05,0.0035886486073028,18.174,20.397,16.357,52.935,64.106,43.174,"Downregulated"
"TRINITY_DN62294_c0_g1_i1","RAZ_BM","RAZ_SM",-1.82240554460685,7.61207894916553,1.22506154547273e-05,0.00396012410780382,85.112,36.68,104.56,277.909,219.517,304.218,"Downregulated"
"TRINITY_DN14102_c0_g1_i1","RAZ_BM","RAZ_SM",-1.5513613560296,3.41086574001882,1.23047792716221e-05,0.00396012410780382,18.809,11.454,18.882,50.227,42.185,51.596,"Downregulated"
"TRINITY_DN2226_c7_g1_i2","RAZ_BM","RAZ_SM",-4.85527003320571,-0.293552955773981,1.24418539317891e-05,0.00398095924001211,0,0,0.087,1.411,1.45,0.592,"Downregulated"
"TRINITY_DN5029_c1_g1_i1","RAZ_BM","RAZ_SM",1.70046240002897,4.59847155699984,1.25948168945159e-05,0.00400660782065196,58.308,31.001,45.311,19.342,11.763,10.505,"Upregulated"
"TRINITY_DN23619_c0_g1_i10","RAZ_BM","RAZ_SM",-1.58108133982871,3.74487792767866,1.29636443332058e-05,0.00410023679444627,3.733,2.501,5.147,10.288,12.733,11.424,"Downregulated"
"TRINITY_DN136_c0_g1_i9","RAZ_BM","RAZ_SM",-1.99617324798881,6.57739808894693,1.31782583476775e-05,0.00414429868517763,7.975,2.997,11.817,37.503,28.248,25.482,"Downregulated"
"TRINITY_DN3539_c3_g1_i1","RAZ_BM","RAZ_SM",-2.31703465820748,1.44113248928847,1.36099134815643e-05,0.00423467816175081,1.31,0.725,0.684,5.614,5.769,2.42,"Downregulated"
"TRINITY_DN26816_c0_g1_i4","RAZ_BM","RAZ_SM",2.30647691966155,0.952272846287386,1.36195449109622e-05,0.00423467816175081,18.84,11.702,15.701,2.99,2.243,3.665,"Upregulated"
"TRINITY_DN43616_c0_g1_i1","RAZ_BM","RAZ_SM",-1.67614978697717,4.5718599113684,1.38516276250717e-05,0.00428264311639435,6.581,3.15,5.166,17.178,11.773,19.03,"Downregulated"
"TRINITY_DN11121_c0_g1_i5","RAZ_BM","RAZ_SM",-2.06696509118583,3.72645722383735,1.39963067190176e-05,0.00430319968700789,5.261,1.413,3.123,11.124,9.53,20.541,"Downregulated"
"TRINITY_DN27097_c0_g1_i4","RAZ_BM","RAZ_SM",-3.87263383005679,0.301279905337551,1.43815090577965e-05,0.00439706649714873,0.905,0.391,0,2.614,9.775,6.942,"Downregulated"
"TRINITY_DN30_c0_g1_i8","RAZ_BM","RAZ_SM",-1.56925115668685,3.84589587656708,1.47019297349157e-05,0.00446960659224939,4.866,3.512,6.574,16.885,11.705,16.263,"Downregulated"
"TRINITY_DN20535_c0_g1_i2","RAZ_BM","RAZ_SM",-2.51981807288623,1.5954067146117,1.48036004761483e-05,0.00446960659224939,1.237,0.363,0.771,7.329,2.184,4.359,"Downregulated"
"TRINITY_DN28716_c0_g1_i1","RAZ_BM","RAZ_SM",-2.29106806223115,2.27814002756103,1.48624124428833e-05,0.00446960659224939,0.416,2.424,3.412,12.619,9.824,8.402,"Downregulated"
"TRINITY_DN10202_c0_g1_i1","RAZ_BM","RAZ_SM",-2.13280861134374,4.20662563376099,1.53225074803403e-05,0.00455337347322112,7.174,1.957,9.147,35.987,18.306,26.115,"Downregulated"
"TRINITY_DN22485_c0_g1_i5","RAZ_BM","RAZ_SM",-1.59904326044591,2.91154254095119,1.53573422289643e-05,0.00455337347322112,1.944,1.298,2.564,6.336,5.015,6.411,"Downregulated"
"TRINITY_DN43689_c1_g1_i7","RAZ_BM","RAZ_SM",-2.08259004541723,1.52236372438657,1.53891678965572e-05,0.00455337347322112,0.759,0.22,0.434,2.154,1.783,2.093,"Downregulated"
"TRINITY_DN17389_c0_g2_i1","RAZ_BM","RAZ_SM",-1.67680841685152,4.72156924676093,1.57611535321821e-05,0.00461592523488176,10.532,5.164,12.193,34.565,30.138,24.89,"Downregulated"
"TRINITY_DN61857_c0_g2_i1","RAZ_BM","RAZ_SM",2.29576749633355,1.36257599299529,1.57683240207467e-05,0.00461592523488176,4.564,3.169,3.807,1.38,0.715,0.204,"Upregulated"
"TRINITY_DN106853_c0_g1_i7","RAZ_BM","RAZ_SM",1.90815413992197,1.70924190503115,1.59709664220249e-05,0.0046505088151837,4.273,4.066,2.699,0.931,0.882,1.143,"Upregulated"
"TRINITY_DN4134_c0_g2_i1","RAZ_BM","RAZ_SM",-2.11183717108976,4.30382538415637,1.62359729728775e-05,0.00470279229783864,8.765,2.587,13.706,44.895,34.624,29.045,"Downregulated"
"TRINITY_DN5_c0_g1_i9","RAZ_BM","RAZ_SM",-1.76145096118462,7.63867305834349,1.64417516356909e-05,0.00473746261528069,22.115,8.275,19.913,65.899,52.029,53.526,"Downregulated"
"TRINITY_DN23303_c0_g1_i1","RAZ_BM","RAZ_SM",-1.89125702801735,4.47596592761364,1.69704802921196e-05,0.00486434068956516,14.317,4.572,9.909,38.851,23.948,44.46,"Downregulated"
"TRINITY_DN28385_c0_g1_i4","RAZ_BM","RAZ_SM",-1.82361395991453,1.81714555495437,1.73113748103676e-05,0.00493634301198845,7.32,8.323,5.658,19.875,30.873,24.798,"Downregulated"
"TRINITY_DN5343_c0_g1_i2","RAZ_BM","RAZ_SM",-1.86634155615581,3.0482317341493,1.77726828443059e-05,0.00499157901944629,3.369,0.974,2.66,8.479,6.886,10.413,"Downregulated"
"TRINITY_DN14306_c0_g1_i1","RAZ_BM","RAZ_SM",-1.54457858618191,5.5823351651207,1.78272718393845e-05,0.00499157901944629,16.303,9.058,13.504,43.567,32.175,38.457,"Downregulated"
"TRINITY_DN19275_c1_g2_i1","RAZ_BM","RAZ_SM",-2.36255385725149,1.01985747420974,1.78599835630678e-05,0.00499157901944629,1.102,1.489,0.887,7.538,7.16,3.522,"Downregulated"
"TRINITY_DN29549_c0_g2_i2","RAZ_BM","RAZ_SM",-2.44849891853746,1.59792334737202,1.78678828875044e-05,0.00499157901944629,0.354,1.479,1.166,4.715,8.443,3.246,"Downregulated"
"TRINITY_DN562_c0_g2_i7","RAZ_BM","RAZ_SM",-1.82361578209205,4.604314707496,1.81374044763343e-05,0.00504128241389183,62.602,19.891,33.147,145.797,110.082,151.522,"Downregulated"
"TRINITY_DN64815_c0_g1_i1","RAZ_BM","RAZ_SM",-4.1765930919603,-0.177359350125645,1.83320262577543e-05,0.00506977252798618,0,0.315,0,2.363,2.605,1.47,"Downregulated"
"TRINITY_DN7239_c0_g2_i2","RAZ_BM","RAZ_SM",-4.15520141363887,-0.203328422388559,1.89068528025235e-05,0.0052025986856704,0.187,0,0,1.443,1.028,1.491,"Downregulated"
"TRINITY_DN40973_c0_g1_i1","RAZ_BM","RAZ_SM",-2.02209044384654,3.52933566446036,1.99792829840908e-05,0.00547034756092762,3.982,1.489,2.304,11.344,5.191,15.314,"Downregulated"
"TRINITY_DN886_c0_g1_i9","RAZ_BM","RAZ_SM",-2.9967476983871,1.32800787241533,2.05212422060094e-05,0.0055818623088538,0.208,1.26,0,4.684,3.389,4.033,"Downregulated"
"TRINITY_DN1210_c0_g2_i1","RAZ_BM","RAZ_SM",-2.4863629451163,1.6870928954801,2.05894183358891e-05,0.0055818623088538,2.09,3.541,1.118,17.429,16.044,4.972,"Downregulated"
"TRINITY_DN808_c0_g1_i3","RAZ_BM","RAZ_SM",-2.05396911010625,2.63075221292947,2.0936081976979e-05,0.00564802125255422,1.716,0.449,2.121,4.872,8.276,4.706,"Downregulated"
"TRINITY_DN32713_c0_g1_i4","RAZ_BM","RAZ_SM",-1.98248023372404,2.59789676136729,2.12601092054444e-05,0.00570745780493868,2.319,3.388,7.557,15.244,13.82,23.45,"Downregulated"
"TRINITY_DN3020_c0_g1_i3","RAZ_BM","RAZ_SM",-2.53394941872323,0.911930799538698,2.24698222180991e-05,0.00600293299005276,0.27,0.105,0.376,1.349,1.009,2.338,"Downregulated"
"TRINITY_DN58224_c0_g2_i1","RAZ_BM","RAZ_SM",-3.52651283456008,0.0317466025996065,2.31147831743195e-05,0.00611613491887046,0,1.537,1.436,9.661,12.566,14.936,"Downregulated"
"TRINITY_DN1750_c0_g1_i3","RAZ_BM","RAZ_SM",-1.56668907405432,5.79822048663707,2.31158204587174e-05,0.00611613491887046,50.666,27.221,54.285,143.11,110.836,138.322,"Downregulated"
"TRINITY_DN1228_c0_g1_i4","RAZ_BM","RAZ_SM",-1.77415444707149,2.49657042976717,2.37835465760901e-05,0.00626269714004089,8.401,4.238,9.552,25.375,18.375,32.699,"Downregulated"
"TRINITY_DN2577_c0_g2_i2","RAZ_BM","RAZ_SM",-2.1769930205868,4.13661158070453,2.458243023869e-05,0.00644223555121935,36.495,5.965,33.224,112.163,89.738,136.688,"Downregulated"
"TRINITY_DN4384_c0_g1_i1","RAZ_BM","RAZ_SM",-2.31685032011812,5.43834979822969,2.49771374186034e-05,0.00651465298907781,30.079,4.715,26.063,122.294,66.936,113.412,"Downregulated"
"TRINITY_DN11723_c0_g2_i1","RAZ_BM","RAZ_SM",-2.36449516672812,2.11478643094056,2.57991116672046e-05,0.00668449314528071,1.497,0.353,3.123,12.055,5.661,8.116,"Downregulated"
"TRINITY_DN23947_c0_g1_i1","RAZ_BM","RAZ_SM",-1.89325246247749,3.12456440931284,2.58957890358437e-05,0.00668449314528071,11.229,2.968,11.904,36.499,26.308,34.21,"Downregulated"
"TRINITY_DN934_c5_g2_i1","RAZ_BM","RAZ_SM",-1.98259023016753,3.84447266811269,2.59926869406198e-05,0.00668449314528071,87.233,19.166,86.372,278.609,205.246,259.288,"Downregulated"
"TRINITY_DN22052_c0_g1_i1","RAZ_BM","RAZ_SM",-2.74216736480009,1.30665072200743,2.64004112877682e-05,0.00675206811311005,5.074,6.338,11.807,72.946,68.964,14.905,"Downregulated"
"TRINITY_DN6861_c0_g1_i2","RAZ_BM","RAZ_SM",-1.47267589314412,4.28766947315499,2.65008306216479e-05,0.00675206811311005,3.265,3.217,3.547,11.428,9.706,6.993,"Downregulated"
"TRINITY_DN27999_c0_g1_i1","RAZ_BM","RAZ_SM",-1.62978215162601,2.59107792297788,2.70403174774554e-05,0.00678474591791365,2.683,2.835,3.904,12.285,7.042,10.117,"Downregulated"
"TRINITY_DN52016_c0_g1_i1","RAZ_BM","RAZ_SM",-2.0553002307022,7.5505853315746,2.70710860637278e-05,0.00678474591791365,209.672,49.69,175.346,786.469,436.585,580.331,"Downregulated"
"TRINITY_DN578_c1_g1_i1","RAZ_BM","RAZ_SM",-2.28372435651305,6.40807621545927,2.71733090445818e-05,0.00678474591791365,55.303,9.325,60.984,236.841,166.176,207.1,"Downregulated"
"TRINITY_DN5_c0_g1_i10","RAZ_BM","RAZ_SM",-2.35848868760208,6.84403885738939,2.72325626614021e-05,0.00678474591791365,10.439,1.413,8.241,44.152,28.63,30.556,"Downregulated"
"TRINITY_DN486_c0_g1_i7","RAZ_BM","RAZ_SM",-2.14535207576992,6.43743296173698,2.73220820737221e-05,0.00678474591791365,75.609,16.178,63.692,250.025,144.951,291.396,"Downregulated"
"TRINITY_DN2014_c0_g1_i9","RAZ_BM","RAZ_SM",-1.91835862071075,2.58606625021396,2.74167216088913e-05,0.00678474591791365,3.837,1.04,3.2,11.72,7.287,12.087,"Downregulated"
"TRINITY_DN26541_c0_g1_i1","RAZ_BM","RAZ_SM",-1.60623407629457,5.71761119828205,2.7492065626608e-05,0.00678474591791365,32.471,17.648,35.374,95.738,64.331,101.069,"Downregulated"
"TRINITY_DN31699_c0_g2_i4","RAZ_BM","RAZ_SM",-2.16807291910954,1.7412728589288,2.80288365630812e-05,0.00688633478309202,0.135,0.62,0.954,3.074,2.194,2.562,"Downregulated"
"TRINITY_DN33673_c0_g1_i4","RAZ_BM","RAZ_SM",-2.2108184695008,3.62917216547895,2.82367915874156e-05,0.00690659372543037,4.866,0.849,3.653,19.583,8.384,15.375,"Downregulated"
"TRINITY_DN49592_c0_g1_i1","RAZ_BM","RAZ_SM",-1.92056222232758,1.31747745160852,2.84151422416182e-05,0.00691946432798768,0.53,0.248,0.472,1.652,1.597,1.593,"Downregulated"
"TRINITY_DN6296_c0_g1_i10","RAZ_BM","RAZ_SM",-1.99352822647146,3.11853634728898,2.94877497905769e-05,0.00707059318901584,3.826,1.317,4.212,17.45,6.817,13.384,"Downregulated"
"TRINITY_DN67447_c0_g1_i2","RAZ_BM","RAZ_SM",-2.48783792699487,0.712617833068825,2.95186851094597e-05,0.00707059318901584,0.385,0.296,0.646,2.886,1.489,3.257,"Downregulated"
"TRINITY_DN7117_c0_g1_i3","RAZ_BM","RAZ_SM",-1.60825915733388,4.72739318517446,2.96518300986526e-05,0.00707059318901584,11.926,5.345,11.595,33.54,29.746,25.165,"Downregulated"
"TRINITY_DN16416_c0_g1_i1","RAZ_BM","RAZ_SM",-1.64860813188825,2.30819784936706,2.96924770268394e-05,0.00707059318901584,1.84,1.184,1.099,4.872,3.487,4.666,"Downregulated"
"TRINITY_DN5130_c0_g1_i2","RAZ_BM","RAZ_SM",-1.84707773601981,4.2590888508301,2.9703305677208e-05,0.00707059318901584,5.459,1.689,5.841,19.07,15.427,12.465,"Downregulated"
"TRINITY_DN3012_c0_g1_i7","RAZ_BM","RAZ_SM",-2.16338121673819,6.61373506516362,2.98066217220568e-05,0.00707059318901584,37.794,10.136,51.2,156.43,93.93,193.328,"Downregulated"
"TRINITY_DN126894_c0_g1_i3","RAZ_BM","RAZ_SM",-1.76472895760563,2.57336006461289,3.02662566560182e-05,0.00714881188329317,0.967,1.145,0.925,2.99,2.243,5.156,"Downregulated"
"TRINITY_DN29944_c0_g2_i1","RAZ_BM","RAZ_SM",2.03602283724976,2.00442076886576,3.10375552048069e-05,0.00728846271354363,22.105,8.17,13.552,3.576,2.243,4.788,"Upregulated"
"TRINITY_DN1326_c0_g1_i7","RAZ_BM","RAZ_SM",-1.73912624911291,5.6133134116287,3.112237412659e-05,0.00728846271354363,4.606,2.338,6.921,13.884,13.301,19.285,"Downregulated"
"TRINITY_DN7366_c1_g1_i4","RAZ_BM","RAZ_SM",-2.3220316438227,1.15927406713095,3.17317856159849e-05,0.00739969105758521,2.402,0.22,2.101,8.092,7.062,8.872,"Downregulated"
"TRINITY_DN51669_c0_g1_i2","RAZ_BM","RAZ_SM",-2.03461690175594,1.60203429175856,3.19104011366115e-05,0.0074099452158324,2.131,1.957,3.499,15.62,7.385,8.433,"Downregulated"
"TRINITY_DN62614_c0_g3_i1","RAZ_BM","RAZ_SM",-1.43327851686079,4.81308234459925,3.23333193295304e-05,0.00747660460496377,74.507,74.897,70.892,242.57,157.791,192.358,"Downregulated"
"TRINITY_DN2572_c0_g1_i5","RAZ_BM","RAZ_SM",-2.59931904485995,2.66679749587071,3.25413782912025e-05,0.00749323101622609,0.769,8.533,3.277,30.006,33.135,13.976,"Downregulated"
"TRINITY_DN23716_c0_g2_i1","RAZ_BM","RAZ_SM",2.04414359860504,3.33184298361576,3.30128563381474e-05,0.00757012306547335,12.019,3.083,6.959,1.882,1.107,2.368,"Upregulated"
"TRINITY_DN4412_c0_g1_i2","RAZ_BM","RAZ_SM",-1.86796765587491,5.42273374421168,3.31978151160156e-05,0.00758094836968798,14.213,4.076,11.711,31.386,31.088,47.309,"Downregulated"
"TRINITY_DN21581_c0_g1_i5","RAZ_BM","RAZ_SM",-1.89212068115721,2.72157345418657,3.33401857619513e-05,0.0075819991042282,0.988,0.248,0.54,2.342,1.792,2.511,"Downregulated"
"TRINITY_DN11041_c0_g2_i2","RAZ_BM","RAZ_SM",-1.74356770908462,4.31426902631862,3.39908135051291e-05,0.00769814991951142,20.296,8.18,12.55,49.401,29.795,58.651,"Downregulated"
"TRINITY_DN710_c0_g1_i15","RAZ_BM","RAZ_SM",-2.10641107688991,3.09413824311882,3.47423688105906e-05,0.00783611280787723,3.889,1.661,7.162,10.696,16.504,27.666,"Downregulated"
"TRINITY_DN8149_c0_g1_i15","RAZ_BM","RAZ_SM",-1.74551030871863,2.97869964466533,3.62617773867757e-05,0.0081454312518523,1.102,0.382,1.186,3.659,2.576,2.736,"Downregulated"
"TRINITY_DN18618_c0_g1_i1","RAZ_BM","RAZ_SM",-1.60727441744291,2.61633347448333,3.65243938623308e-05,0.00817107110495738,1.352,0.802,1.388,3.963,2.654,4.308,"Downregulated"
"TRINITY_DN54329_c0_g2_i3","RAZ_BM","RAZ_SM",-2.68849198991055,0.789669283756467,3.70068373439668e-05,0.00824548294084157,0.364,0.305,0.116,2.394,2.174,0.694,"Downregulated"
"TRINITY_DN32662_c0_g3_i1","RAZ_BM","RAZ_SM",-1.80925441726716,6.37072275818626,3.80597374613125e-05,0.00844588544937852,38.085,11.673,31.297,95.226,73.254,116.27,"Downregulated"
"TRINITY_DN3948_c2_g1_i14","RAZ_BM","RAZ_SM",3.89567717461193,0.408200316386858,3.84269906521879e-05,0.00849313656045184,1.674,7.235,2.747,0.732,0,0,"Upregulated"
"TRINITY_DN33031_c0_g1_i1","RAZ_BM","RAZ_SM",-1.78125889840602,5.86069424440957,3.96643016192458e-05,0.0087315407012543,33.562,15.128,29.244,92.8,50.256,125.642,"Downregulated"
"TRINITY_DN4354_c0_g1_i3","RAZ_BM","RAZ_SM",-1.87790888828818,3.49193758395163,4.03160506123307e-05,0.00883965549561358,3.213,0.744,2.477,7.58,6.729,9.402,"Downregulated"
"TRINITY_DN39845_c0_g1_i1","RAZ_BM","RAZ_SM",-2.60537597087905,1.40300575317464,4.09631678823698e-05,0.00894590071919977,1.133,0.535,0.395,7.319,1.597,4.002,"Downregulated"
"TRINITY_DN214_c0_g1_i8","RAZ_BM","RAZ_SM",-2.34445953694717,7.06239453702705,4.12115568328206e-05,0.00896457240607686,34.831,12.771,68.155,258.17,247.451,82.376,"Downregulated"
"TRINITY_DN38825_c0_g1_i2","RAZ_BM","RAZ_SM",-2.60902979340808,0.799837961209295,4.16662381862631e-05,0.00901060316573658,2.485,0,2.381,14.135,7.894,8.331,"Downregulated"
"TRINITY_DN9036_c0_g2_i5","RAZ_BM","RAZ_SM",-1.62342227331948,2.33065405440645,4.1750623383051e-05,0.00901060316573658,8.203,6.395,4.299,22.228,20.49,15.661,"Downregulated"
"TRINITY_DN159_c0_g1_i9","RAZ_BM","RAZ_SM",-2.15532513480762,6.71100111210206,4.19338604768229e-05,0.00901479717766199,23.727,4.247,22.67,93.02,63.038,69.87,"Downregulated"
"TRINITY_DN7150_c0_g1_i3","RAZ_BM","RAZ_SM",-1.82130549331386,2.17679546541024,4.25549178467275e-05,0.00911271341936499,2.953,1.25,3.335,7.685,7.434,11.761,"Downregulated"
"TRINITY_DN15410_c0_g1_i2","RAZ_BM","RAZ_SM",-1.36076801970495,3.80276037993165,4.38646408699813e-05,0.00935676994433546,2.797,3.045,3.875,8.688,8.032,8.443,"Downregulated"
"TRINITY_DN12634_c0_g2_i1","RAZ_BM","RAZ_SM",-2.56732773366684,0.470448427276487,4.40611644478585e-05,0.00936240202402875,3.649,0.735,3.441,11.386,16.034,19.877,"Downregulated"
"TRINITY_DN8843_c0_g2_i1","RAZ_BM","RAZ_SM",-2.27635936915265,1.53240986073919,4.4683088667673e-05,0.00945803500667968,22.656,1.499,19.576,83.338,65.399,59.284,"Downregulated"
"TRINITY_DN11361_c0_g2_i1","RAZ_BM","RAZ_SM",-1.65422412816934,5.69816553189711,4.54492318564074e-05,0.0095833449271476,33.594,14.565,39.567,96.313,76.565,103.601,"Downregulated"
"TRINITY_DN1412_c0_g1_i4","RAZ_BM","RAZ_SM",-1.61202657605124,9.45425150429914,4.60721419831226e-05,0.00967761168663804,358.644,144.287,309.863,899.396,739.386,854.392,"Downregulated"
"TRINITY_DN8257_c0_g2_i1","RAZ_BM","RAZ_SM",-2.61131198090716,0.506080360145365,4.67350520474455e-05,0.00977953176570006,0.697,0.143,0.675,4.098,1.881,3.665,"Downregulated"
